id,Month,Hotel Name,Area,Price,Rating,Number of Reviews
0,February,"Vivanta Goa, Panaji",Panaji,103,0.0,407
1,February,Goa Marriott Resort & Spa,Panaji,172,0.0,426
2,February,"Taj Cidade de Goa Horizon, Goa",Dona Paula,156,0.0,179
3,February,"Taj Cidade de Goa Horizon, Goa",Dona Paula,156,9.4,179
4,February,DoubleTree by Hilton Goa-Panaji,Chimbel,92,8.8,90
5,February,"Hyatt Ronil Goa, part of JdV by Hyatt",Baga,75,9.2,35
6,February,The Fern Kadamba Hotel and Spa,Old Goa,78,8.0,7
7,February,"La Estória, Goa – IHCL SeleQtions",Candolim,90,8.0,161
8,February,The Westin Goa,Anjuna,161,8.8,66
9,February,White Wharf Beach Resort Morjim Goa,Morjim,103,0.0,0
10,February,"Vivanta Goa, Panaji",Panaji,103,9.4,407
11,February,Citadines Arpora Nagoa Goa,Nagoa,69,10.0,2
12,February,JW Marriott Goa,Chapora,213,9.8,20
13,February,Regenta Central North Goa,Nagoa,46,10.0,1
14,February,Fairfield by Marriott Goa Anjuna,Anjuna,59,8.2,138
15,February,Holiday Inn Goa Candolim by IHG,Sinquerim,80,8.6,46
16,February,DoubleTree by Hilton Hotel Goa - Arpora - Baga,Arpora,59,7.0,148
17,February,Ginger Goa Candolim,Candolim,47,10.0,1
18,February,"Nanu Resort & Spa, Arambol",Arambol,58,9.6,16
19,February,HOLITEL ANJUNA GOA,Anjuna,59,9.0,6
20,February,Novotel GOA Panjim,Panaji,104,8.0,3
21,February,"Lazy Lagoon, Baga A Lemon Tree Resort",Arpora,49,7.0,25
22,February,Hilton Goa Resort Candolim,Saipem,138,8.0,42
23,February,"Vivanta Goa, Miramar",Miramar,109,9.2,47
24,February,Amritara Aura Resort & Spa,Mandrem,70,8.6,17
25,February,Park Inn by Radisson Goa Candolim,Candolim,70,7.2,177
26,February,"Taj Cidade de Goa Heritage, Goa",Vainguinim,195,8.6,209
27,February,"Fortune Miramar, Goa - Member ITC Hotels' Group",Panaji,100,7.2,22
28,February,Rewas Guest House,Arpora,23,0.0,0
29,February,"Taj Cidade de Goa Heritage, Goa",Vainguinim,195,8.6,209
30,February,DoubleTree by Hilton Goa-Panaji,Chimbel,92,8.8,90
31,February,Taj Holiday Village Resort & Spa,Sinquerim,152,8.6,251
32,February,SPARV Aulakhs Resort,Mandrem,31,7.0,2
33,February,SN Blue Hotel,Betim,46,0.0,0
34,February,Pride Sun Village Resort & Spa,Arpora,44,6.8,28
35,February,Sandalwood Hotel & Retreat,Vainguinim,57,7.6,78
36,February,Hotel Quinta Da Branca,Baga,48,9.0,7
37,February,Casa Albuquerque,Vagator,46,7.0,2
38,February,Sahaswara Luxury Resort,Anjuna,109,0.0,0
39,February,Comfort Inn Elite Goa,Carambolim,46,8.0,2
40,February,Goa Marriott Resort & Spa,Panaji,172,9.0,426
41,February,Sonnet - A boutique hotel by Lotus leaf Hotels,Vagator,35,8.6,8
42,February,W Goa,Chapora,241,8.2,101
43,February,JW Marriott Goa,Chapora,213,9.8,20
44,February,Riva Beach Resort,Mandrem,58,7.4,50
45,February,Woodpegger By The Beach,Mandrem,36,8.6,13
46,February,The Westin Goa,Anjuna,161,8.8,66
47,February,Grand Continent Anjuna A Sarovar Portico Affiliate Hotel,Anjuna,46,10.0,1
48,February,"Vivanta Goa, Miramar",Miramar,109,9.2,47
49,February,Novotel GOA Panjim,Panaji,104,8.0,3
50,February,"The Yellow House, Goa – IHCL SeleQtions",Mazal Waddo,98,8.4,54
51,February,Morjim Sunset Hotel,Morjim,22,9.0,2
52,February,Godwin Goa,Candolim,49,7.0,13
53,February,Habitus Resort,Morjim,42,9.2,44
54,February,Deep International a Luxury Hotel,Mandrem,45,0.0,0
55,February,Nazri Resort,Baga,80,7.2,64
56,February,Koko Maya By Stone Wood,Morjim,40,0.0,0
57,February,Fairfield by Marriott Goa Anjuna,Anjuna,59,8.2,138
58,February,W Goa,Chapora,241,8.2,101
59,February,Magnum Resorts- Near Candolim Beach,Candolim,37,6.0,5
60,February,Monarch suites,Candolim,29,4.8,4
61,February,Foxoso LA Beach Resort,Morjim,98,0.0,0
62,February,MARCELO PLACE 3,Baga,15,5.0,18
63,February,Jamboree Creek Yoga,Mandrem,69,7.8,28
64,February,Aaria Hills,Arambol,64,8.0,2
65,February,Hotel Grand Kadamba,Porvorim,33,6.8,3
66,February,Dragonfly Goa,Arambol,13,10.0,1
67,February,Casablanca,Candolim,39,6.8,57
68,February,Saraya Art Cafe B&B,Pilerne,9,8.0,19
69,February,The Cool Huts,Mandrem,28,9.0,2
70,February,Salotel- near Mae De Deus Church,Saligao,25,7.8,4
71,February,Anahata Retreat Sea Front Resort,Ashvem,149,8.2,23
72,February,AlohaStayz,Anjuna,49,0.0,0
73,February,Acron Seaway Resort,Candolim,41,7.2,5
74,February,VAGATOR DOWNTOWN,Vagator,69,6.0,1
75,February,La Gracia Resort,Morjim,25,6.0,2
76,February,Falcon Resorts by Dia Hotels,Calangute,24,10.0,1
77,February,RENTON MANOR BY JOY STAYS,"Sleeps 3, 1 bathroom",17,0.0,0
78,February,"Mandrem Beach Resort, a member of Radisson Individuals Retreat",Mandrem,140,0.0,0
79,February,Bay Breeze Hotels & Resorts,Morjim,40,0.0,0
80,February,"Hotel Miramar, Miramar Beach, Goa",Caranzalem,27,6.0,5
81,February,Sinon Baga Retreat,Baga,103,7.0,7
82,February,La Sea Vue Vacation Home Stay Goa,Candolim,29,10.0,1
83,February,Hibis Hotels and Resorts Ashvem,Ashvem,37,0.0,0
84,February,Sunset & Waves Resort,Mandrem,53,9.0,4
85,February,Unicorn Mandrem,Mandrem,58,0.0,0
86,February,Jolene's Ashvem,Ashvem,30,8.6,37
87,February,"Le Méridien Goa, Calangute",Gauravaddo,92,8.8,241
88,February,Hilton Goa Resort Candolim,Saipem,138,8.0,42
